M1,M2,M3,p1,T1,T1F,p2,p3,T2,TR,T2F,p4,T3,Pretry,violation
1.00,0.30,0.80,1.00,5.60,NoData,0.80,0.00,36.60,NoData,NoData,1.00,59.50,
0.90,0.45,0.60,1.00,6.40,NoData,1.00,0.00,31.20,NoData,NoData,1.00,57.60,
1.00,0.30,0.90,1.00,6.40,NoData,0.50,0.38,37.80,17.33,57.00,1.00,71.50,
1.00,0.40,0.90,1.00,5.20,NoData,1.00,0.00,38.20,NoData,NoData,1.00,57.60,
0.80,0.35,0.50,1.00,7.80,NoData,0.67,0.17,30.80,7.00,57.00,0.00,72.25,
0.80,0.45,0.70,1.00,6.60,NoData,0.80,0.00,36.00,NoData,NoData,1.00,55.25,
0.70,0.25,0.80,1.00,5.40,NoData,0.67,0.17,35.00,15.00,58.00,1.00,73.25,
0.70,0.45,0.60,0.00,NoData,192.80,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.70,0.40,0.70,0.00,NoData,51.20,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.90,0.30,0.50,1.00,6.40,NoData,0.60,0.00,31.60,NoData,NoData,0.00,74.67,
1.00,0.25,1.00,1.00,8.00,NoData,1.00,0.00,28.80,NoData,NoData,0.60,62.40,
0.70,0.35,0.50,1.00,8.40,NoData,0.60,0.00,25.40,NoData,NoData,0.33,52.33,
0.90,0.40,1.00,1.00,5.00,NoData,0.80,0.00,37.20,NoData,NoData,1.00,54.00,
0.70,0.40,0.50,0.75,3.00,106.00,1.00,0.00,64.67,NoData,NoData,0.00,56.33,
0.70,0.40,1.00,0.00,NoData,390.80,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.90,0.25,0.80,1.00,6.00,NoData,1.00,0.00,28.60,NoData,NoData,1.00,86.60,
0.70,0.40,0.60,0.00,NoData,52.00,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.60,0.40,0.70,1.00,6.40,NoData,0.80,0.20,32.50,NoData,58.00,0.75,58.00,
0.90,0.45,0.70,1.00,6.20,NoData,1.00,0.00,32.40,NoData,NoData,1.00,56.20,
1.00,0.30,0.70,1.00,6.20,NoData,1.00,0.00,31.80,NoData,NoData,0.80,58.00,
0.80,0.50,0.60,1.00,5.20,NoData,1.00,0.00,33.60,NoData,NoData,1.00,57.80,
1.00,0.25,0.50,1.00,6.40,NoData,0.83,0.17,36.40,35.00,57.00,0.00,65.80,
0.50,0.40,1.00,0.40,12.50,40.00,0.50,0.00,19.50,NoData,NoData,0.00,55.00,
0.90,0.40,0.90,1.00,5.80,NoData,1.00,0.00,35.40,NoData,NoData,1.00,53.00,
0.60,0.45,0.70,1.00,7.80,NoData,0.80,0.00,29.80,NoData,NoData,1.00,54.25,
0.80,0.35,0.60,1.00,6.40,NoData,0.80,0.00,32.80,NoData,NoData,0.50,54.50,
0.60,0.40,0.90,1.00,6.20,NoData,1.00,0.00,36.20,NoData,NoData,1.00,63.20,
0.50,0.35,0.50,0.40,12.50,38.33,0.50,0.00,14.50,NoData,NoData,0.00,54.00,
0.60,0.30,0.80,1.00,6.40,NoData,0.67,0.17,27.40,33.00,57.00,1.00,58.00,
1.00,0.50,0.80,1.00,7.00,NoData,1.00,0.00,33.60,NoData,NoData,1.00,55.40,
0.60,0.50,0.80,1.00,7.60,NoData,1.00,0.00,33.20,NoData,NoData,0.80,54.20,
0.50,0.25,0.60,0.00,NoData,42.60,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.90,0.35,0.80,1.00,6.20,NoData,1.00,0.00,31.60,NoData,NoData,1.00,64.00,
0.60,0.45,1.00,1.00,8.80,NoData,0.50,0.33,31.50,14.00,62.00,1.00,54.00,
0.60,0.40,0.80,1.00,10.20,NoData,0.83,0.17,28.60,14.00,62.00,0.80,53.00,
0.70,0.35,1.00,1.00,7.60,NoData,0.80,0.00,28.20,NoData,NoData,1.00,59.00,
0.50,0.50,0.70,0.33,13.00,36.00,1.00,0.00,23.00,NoData,NoData,1.00,54.00,
0.70,0.30,0.70,1.00,8.60,NoData,0.67,0.33,24.50,12.00,58.00,1.00,72.00,
0.70,0.35,0.90,1.00,9.00,NoData,0.60,0.00,21.20,NoData,NoData,1.00,65.33,
0.60,0.25,0.70,1.00,8.40,NoData,0.67,0.17,29.60,15.00,58.00,1.00,56.00,
0.80,0.45,0.90,1.00,5.20,NoData,0.80,0.00,30.80,NoData,NoData,1.00,53.25,
0.50,0.35,0.90,0.60,12.67,45.50,0.33,0.00,18.67,NoData,NoData,1.00,54.00,
1.00,0.40,1.00,1.00,5.40,NoData,0.83,0.17,36.40,26.00,57.00,1.00,54.80,
0.80,0.30,0.50,1.00,7.80,NoData,1.00,0.00,29.80,NoData,NoData,0.00,65.40,
0.70,0.30,1.00,1.00,7.00,NoData,1.00,0.00,34.00,NoData,NoData,1.00,58.80,
0.80,0.30,1.00,1.00,6.40,NoData,0.80,0.00,32.40,NoData,NoData,1.00,62.75,
0.90,0.35,0.50,1.00,6.00,NoData,1.00,0.00,38.60,NoData,NoData,0.00,59.40,
0.80,0.45,0.80,1.00,6.60,NoData,1.00,0.00,34.60,NoData,NoData,1.00,55.20,
1.00,0.30,1.00,1.00,5.80,NoData,0.83,0.17,41.20,19.00,58.00,1.00,56.60,
0.50,0.45,0.50,0.60,12.67,39.50,0.33,0.00,26.67,NoData,NoData,0.00,53.00,
1.00,0.45,0.70,1.00,7.20,NoData,1.00,0.00,31.00,NoData,NoData,1.00,66.00,
0.50,0.45,0.90,0.20,13.00,32.50,0.00,0.00,36.00,NoData,NoData,NoData,NoData,
0.90,0.35,0.70,1.00,6.00,NoData,0.83,0.17,38.20,17.00,60.00,1.00,64.60,
0.90,0.25,0.60,1.00,8.40,NoData,0.67,0.17,19.80,31.00,61.00,1.00,79.00,
0.90,0.30,0.70,1.00,5.40,NoData,0.71,0.29,38.20,21.50,57.50,1.00,62.20,
0.50,0.45,1.00,0.20,12.00,32.25,0.00,0.00,25.00,NoData,NoData,NoData,NoData,
0.60,0.40,0.50,1.00,8.00,NoData,0.80,0.00,32.00,NoData,NoData,0.00,64.50,
0.90,0.50,0.50,1.00,4.20,NoData,0.60,0.00,39.60,NoData,NoData,0.00,55.00,
1.00,0.50,0.60,1.00,5.60,NoData,1.00,0.00,39.20,NoData,NoData,1.00,60.40,
1.00,0.30,0.50,1.00,7.20,NoData,1.00,0.00,31.60,NoData,NoData,0.00,69.80,
0.80,0.25,0.90,1.00,7.20,NoData,0.80,0.00,29.40,NoData,NoData,0.50,73.00,
0.70,0.50,0.80,0.00,NoData,302.20,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.60,0.50,0.50,1.00,6.40,NoData,1.00,0.00,36.20,NoData,NoData,0.00,58.20,
0.90,0.45,0.80,1.00,6.60,NoData,1.00,0.00,32.40,NoData,NoData,0.80,65.40,
0.50,0.25,0.90,0.20,12.00,37.00,0.00,0.00,22.00,NoData,NoData,NoData,NoData,
0.60,0.45,0.80,1.00,6.00,NoData,0.80,0.00,35.20,NoData,NoData,1.00,52.50,
0.50,0.25,0.50,0.60,9.67,77.50,0.67,0.00,26.00,NoData,NoData,0.00,58.50,
0.50,0.45,0.70,0.20,12.00,36.75,0.00,0.00,17.00,NoData,NoData,NoData,NoData,
0.60,0.45,0.90,1.00,8.40,NoData,0.80,0.00,35.40,NoData,NoData,0.75,54.75,
0.70,0.25,1.00,1.00,6.60,NoData,1.00,0.00,34.80,NoData,NoData,1.00,60.60,
0.80,0.30,0.80,1.00,6.80,NoData,0.57,0.29,29.80,26.00,55.50,0.75,550.00,
0.50,0.40,0.60,0.40,12.50,30.33,0.50,0.00,22.50,NoData,NoData,1.00,55.00,
0.70,0.25,0.50,1.00,7.00,NoData,0.80,0.00,31.00,NoData,NoData,0.00,53.50,
0.50,0.25,0.70,0.20,12.00,66.50,1.00,0.00,23.00,NoData,NoData,1.00,57.00,
0.60,0.30,0.90,1.00,5.50,NoData,1.00,0.00,35.00,NoData,NoData,1.00,56.00,
0.80,0.25,0.80,1.00,7.20,NoData,0.80,0.00,27.00,NoData,NoData,1.00,62.00,
0.90,0.30,0.80,1.00,6.40,NoData,0.67,0.17,30.60,25.00,59.00,1.00,61.75,
0.50,0.30,0.90,0.20,8.00,49.00,1.00,0.00,29.00,NoData,NoData,1.00,60.00,
0.80,0.30,0.60,1.00,6.80,NoData,0.67,0.17,31.40,11.00,56.00,1.00,54.75,
1.00,0.25,0.90,1.00,5.20,NoData,0.67,0.17,34.60,17.00,57.00,1.00,65.75,
0.90,0.40,0.50,1.00,4.40,NoData,0.67,0.17,38.40,43.00,63.00,0.00,70.75,
0.90,0.45,0.90,1.00,7.00,NoData,1.00,0.00,28.20,NoData,NoData,1.00,57.20,
0.90,0.25,1.00,1.00,6.60,NoData,1.00,0.00,30.20,NoData,NoData,1.00,78.00,
0.50,0.50,1.00,0.60,12.33,29.50,0.67,0.00,25.67,NoData,NoData,1.00,53.00,
0.50,0.50,0.90,0.40,12.00,32.33,0.00,0.00,26.00,NoData,NoData,NoData,NoData,
0.60,0.45,0.60,1.00,6.60,NoData,0.80,0.00,32.00,NoData,NoData,1.00,57.50,
0.50,0.45,0.60,0.00,NoData,34.00,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.70,0.30,0.80,1.00,8.80,NoData,0.57,0.29,29.20,14.50,59.50,1.00,64.00,
1.00,0.45,1.00,1.00,6.40,NoData,0.33,0.17,33.40,34.00,57.00,1.00,62.00,
1.00,0.25,0.80,1.00,7.60,NoData,0.83,0.17,32.80,26.00,61.00,1.00,60.20,
0.50,0.30,0.80,0.80,12.75,31.00,0.50,0.00,21.50,NoData,NoData,1.00,53.00,
0.60,0.40,1.00,1.00,6.40,NoData,0.60,0.00,27.00,NoData,NoData,1.00,73.00,
0.80,0.50,0.50,1.00,6.20,NoData,1.00,0.00,35.60,NoData,NoData,0.00,57.00,
0.50,0.40,0.90,0.20,12.00,32.25,1.00,0.00,22.00,NoData,NoData,1.00,53.00,
1.00,0.45,0.60,1.00,5.80,NoData,0.80,0.00,36.00,NoData,NoData,0.75,59.25,
0.60,0.25,1.00,1.00,8.00,NoData,0.50,0.33,28.25,12.00,57.00,0.67,68.00,
1.00,0.50,1.00,1.00,7.00,NoData,0.01,0.99,35.00,0.00,0.00,1.00,56.40,
0.60,0.50,0.60,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.80,0.50,0.90,1.00,5.80,NoData,0.80,0.00,37.60,NoData,NoData,0.75,54.50,
0.70,0.45,0.70,0.20,11.00,495.50,0.00,1.00,NoData,NoData,60.00,NoData,NoData,
0.90,0.50,0.70,1.00,7.40,NoData,0.80,0.00,31.40,NoData,NoData,1.00,53.50,
0.60,0.45,0.50,1.00,6.40,NoData,0.80,0.00,37.80,NoData,NoData,0.00,56.25,
0.70,0.40,0.80,0.00,NoData,62.20,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.80,0.35,1.00,1.00,7.20,NoData,1.00,0.00,33.80,NoData,NoData,1.00,55.60,
0.60,0.35,0.70,1.00,9.80,NoData,0.83,0.17,26.40,16.00,58.00,0.80,56.60,
1.00,0.35,0.80,1.00,6.80,NoData,0.83,0.17,39.20,42.00,56.00,0.80,176.20,
1.00,0.40,0.50,1.00,6.60,NoData,1.00,0.00,35.00,NoData,NoData,0.00,56.80,
0.50,0.25,1.00,0.40,13.00,38.00,0.50,0.00,21.50,NoData,NoData,1.00,57.00,
1.00,0.40,0.60,1.00,6.40,NoData,0.80,0.00,34.80,NoData,NoData,1.00,66.50,
0.50,0.30,0.50,0.60,12.67,33.00,0.33,0.00,19.67,NoData,NoData,0.00,53.00,
0.80,0.40,0.70,1.00,6.60,NoData,1.00,0.00,38.00,NoData,NoData,1.00,58.40,
0.70,0.45,1.00,0.00,NoData,72.60,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1.00,0.35,1.00,1.00,6.00,NoData,0.80,0.00,36.60,NoData,NoData,1.00,59.50,
1.00,0.40,0.70,1.00,6.20,NoData,1.00,0.00,40.00,NoData,NoData,1.00,54.60,
0.80,0.40,0.80,1.00,8.40,NoData,1.00,0.00,25.20,NoData,NoData,1.00,56.60,
0.70,0.50,1.00,0.20,0.00,829.00,0.00,1.00,NoData,NoData,55.00,NoData,NoData,
0.70,0.30,0.60,1.00,7.00,NoData,0.50,0.33,26.00,12.00,59.50,1.00,55.67,
0.60,0.25,0.90,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.50,0.50,0.60,1.00,9.00,NoData,1.00,0.00,26.00,NoData,NoData,1.00,51.50,
0.60,0.25,0.80,1.00,5.80,NoData,0.80,0.00,26.00,NoData,NoData,0.50,60.25,
0.90,0.30,0.90,1.00,7.20,NoData,0.57,0.43,31.75,13.00,56.00,1.00,54.50,
0.90,0.40,0.80,1.00,5.60,NoData,1.00,0.00,34.20,NoData,NoData,1.00,60.40,
0.70,0.30,0.90,1.00,7.00,NoData,1.00,0.00,30.80,NoData,NoData,1.00,53.20,
0.90,0.25,0.70,1.00,6.40,NoData,0.80,0.00,30.00,NoData,NoData,1.00,67.25,
0.60,0.40,0.60,1.00,5.80,NoData,0.60,0.00,27.00,NoData,NoData,0.67,56.67,
0.60,0.35,0.80,1.00,6.00,NoData,0.57,0.29,25.20,26.50,57.50,1.00,56.75,
1.00,0.35,0.50,1.00,6.40,NoData,0.80,0.00,34.00,NoData,NoData,0.00,61.50,
0.60,0.30,1.00,1.00,7.80,NoData,0.80,0.00,32.20,NoData,NoData,1.00,65.25,
0.80,0.25,0.70,1.00,6.00,NoData,0.67,0.17,36.00,37.00,56.00,1.00,64.50,
0.80,0.35,0.80,1.00,6.80,NoData,0.60,0.00,31.80,NoData,NoData,1.00,54.67,
0.70,0.40,0.90,0.00,NoData,92.67,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.90,0.25,0.50,1.00,7.20,NoData,1.00,0.00,34.40,NoData,NoData,0.00,72.60,
0.80,0.35,0.90,1.00,9.20,NoData,0.60,0.20,31.00,NoData,56.00,1.00,58.00,
0.60,0.50,1.00,1.00,5.80,NoData,1.00,0.00,33.60,NoData,NoData,1.00,52.20,
0.70,0.45,0.50,0.00,NoData,53.20,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.90,0.45,0.50,1.00,7.40,NoData,1.00,0.00,32.20,NoData,NoData,0.00,55.20,
0.70,0.50,0.50,0.20,3.00,1855.25,0.00,1.00,NoData,NoData,57.00,NoData,NoData,
0.80,0.30,0.90,1.00,7.40,NoData,0.83,0.17,32.80,17.00,57.00,0.80,61.20,
0.90,0.40,0.60,1.00,7.60,NoData,1.00,0.00,29.00,NoData,NoData,1.00,57.60,
0.80,0.45,0.50,1.00,7.40,NoData,1.00,0.00,32.00,NoData,NoData,0.00,55.20,
0.50,0.45,0.80,0.60,12.67,38.00,0.67,0.00,27.67,NoData,NoData,1.00,51.50,
0.50,0.50,0.50,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1.00,0.25,0.60,1.00,6.00,NoData,0.83,0.17,34.80,117.00,57.00,1.00,56.80,
1.00,0.45,0.50,1.00,6.25,NoData,1.00,0.00,36.00,NoData,NoData,0.00,59.75,
0.90,0.25,0.90,1.00,6.80,NoData,0.83,0.17,29.00,22.00,62.00,0.80,69.00,
1.00,0.50,0.90,1.00,5.60,NoData,0.67,0.17,28.00,35.00,56.00,1.00,54.25,
0.90,0.35,1.00,1.00,5.00,NoData,1.00,0.00,37.00,NoData,NoData,1.00,63.40,
0.50,0.30,0.60,0.40,12.00,33.67,0.00,0.00,26.00,NoData,NoData,NoData,NoData,
0.90,0.50,0.90,1.00,6.00,NoData,0.80,0.00,31.80,NoData,NoData,1.00,54.75,
0.90,0.30,0.60,1.00,6.20,NoData,0.57,0.29,35.60,14.50,55.00,0.75,67.50,
0.80,0.25,0.50,1.00,8.80,NoData,0.80,0.00,25.60,NoData,NoData,0.00,79.25,
0.70,0.25,0.60,1.00,8.20,NoData,0.67,0.33,30.50,23.00,60.50,1.00,56.25,
0.50,0.35,0.60,0.60,11.33,31.50,0.67,0.00,31.67,NoData,NoData,1.00,52.00,
1.00,0.35,0.70,1.00,5.20,NoData,1.00,0.00,36.60,NoData,NoData,1.00,57.20,
0.60,0.35,0.90,1.00,8.00,NoData,0.83,0.17,26.40,43.00,56.00,1.00,68.60,
0.70,0.50,0.60,0.00,NoData,78.20,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.60,0.35,1.00,1.00,7.80,NoData,0.83,0.17,30.60,15.00,57.00,1.00,52.80,
1.00,0.25,0.70,1.00,6.60,NoData,0.80,0.00,31.40,NoData,NoData,1.00,63.25,
0.70,0.50,0.90,0.00,NoData,810.00,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.90,0.35,0.60,1.00,7.80,NoData,0.83,0.17,32.00,6.00,56.00,0.80,56.80,
0.60,0.30,0.50,1.00,4.20,NoData,0.50,0.17,38.80,53.00,58.00,0.00,57.00,
0.90,0.50,0.60,1.00,4.80,NoData,0.80,0.00,31.80,NoData,NoData,1.00,54.75,
0.90,0.50,0.80,1.00,6.40,NoData,1.00,0.00,33.80,NoData,NoData,0.80,57.00,
0.60,0.35,0.60,1.00,6.00,NoData,0.50,0.17,40.60,75.00,58.00,1.00,61.67,
0.60,0.50,0.70,1.00,10.00,NoData,0.80,0.00,26.20,NoData,NoData,1.00,53.00,
0.80,0.40,0.50,1.00,5.20,NoData,1.00,0.00,40.20,NoData,NoData,0.00,55.20,
0.60,0.30,0.60,1.00,7.60,NoData,0.83,0.17,28.40,24.00,60.00,1.00,67.20,
0.60,0.25,0.50,1.00,6.20,NoData,1.00,0.00,36.60,NoData,NoData,0.00,55.60,
0.70,0.35,0.60,1.00,7.00,NoData,0.67,0.17,33.80,23.00,59.00,0.75,55.25,
0.90,0.40,0.70,1.00,6.40,NoData,1.00,0.00,31.80,NoData,NoData,1.00,54.40,
0.80,0.25,0.60,1.00,8.00,NoData,0.57,0.43,28.25,20.50,57.00,1.00,61.75,
0.80,0.40,0.60,1.00,5.60,NoData,1.00,0.00,38.00,NoData,NoData,0.80,55.40,
0.80,0.35,0.70,1.00,7.20,NoData,0.50,0.17,29.60,27.00,62.00,1.00,57.67,
0.90,0.30,1.00,1.00,7.00,NoData,0.80,0.00,30.80,NoData,NoData,1.00,56.00,
0.50,0.30,1.00,0.00,NoData,42.00,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.70,0.30,0.50,1.00,6.80,NoData,1.00,0.00,33.60,NoData,NoData,0.00,63.20,
0.50,0.40,0.50,0.20,13.00,31.50,1.00,0.00,25.00,NoData,NoData,0.00,68.00,
0.70,0.45,0.80,0.33,10.00,51.50,1.00,0.00,25.00,NoData,NoData,1.00,89.00,
1.00,0.45,0.90,1.00,5.20,NoData,0.80,0.00,39.60,NoData,NoData,1.00,55.75,
0.90,0.35,0.90,1.00,8.20,NoData,0.80,0.00,30.40,NoData,NoData,1.00,53.50,
1.00,0.35,0.60,1.00,5.80,NoData,1.00,0.00,41.60,NoData,NoData,1.00,55.40,
1.00,0.30,0.60,1.00,5.60,NoData,0.83,0.17,36.60,17.00,57.00,1.00,60.00,
0.50,0.35,0.70,0.20,13.00,34.00,1.00,0.00,21.00,NoData,NoData,1.00,57.00,
0.60,0.50,0.90,1.00,8.40,NoData,1.00,0.00,30.20,NoData,NoData,1.00,59.80,
0.50,0.40,0.70,0.40,12.00,33.00,0.50,0.00,19.00,NoData,NoData,1.00,113.00,
1.00,0.50,0.70,1.00,5.20,NoData,1.00,0.00,34.80,NoData,NoData,1.00,58.00,
0.80,0.45,0.60,1.00,7.40,NoData,1.00,0.00,30.60,NoData,NoData,0.80,55.40,
0.80,0.45,1.00,1.00,6.80,NoData,0.80,0.00,31.20,NoData,NoData,0.75,57.75,
0.80,0.50,0.80,1.00,6.20,NoData,0.60,0.00,40.20,NoData,NoData,1.00,53.33,
0.60,0.35,0.50,1.00,6.20,NoData,1.00,0.00,38.60,NoData,NoData,0.20,58.40,
0.70,0.35,0.70,1.00,8.20,NoData,0.80,0.00,30.60,NoData,NoData,1.00,55.25,
0.80,0.30,0.70,1.00,5.60,NoData,0.57,0.43,35.50,28.50,56.33,1.00,60.00,
1.00,0.40,0.80,1.00,6.20,NoData,1.00,0.00,34.00,NoData,NoData,1.00,57.60,
0.80,0.40,0.90,1.00,5.80,NoData,1.00,0.00,36.40,NoData,NoData,1.00,55.80,
0.60,0.30,0.70,1.00,8.20,NoData,0.80,0.00,26.40,NoData,NoData,1.00,54.75,
0.50,0.40,0.80,0.00,NoData,40.00,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1.00,0.35,0.90,1.00,6.20,NoData,1.00,0.00,35.60,NoData,NoData,0.80,61.80,
0.80,0.25,1.00,1.00,7.20,NoData,1.00,0.00,27.40,NoData,NoData,1.00,56.20,
0.80,0.50,0.70,1.00,6.20,NoData,1.00,0.00,40.40,NoData,NoData,1.00,60.00,
0.80,0.40,1.00,1.00,8.20,NoData,0.80,0.00,28.60,NoData,NoData,1.00,58.75,
0.70,0.45,0.90,0.00,NoData,2099.60,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.70,0.35,0.80,1.00,7.80,NoData,1.00,0.00,28.60,NoData,NoData,0.80,61.20,
0.90,0.50,1.00,1.00,4.60,NoData,1.00,0.00,39.00,NoData,NoData,1.00,53.60,
0.70,0.50,0.70,0.20,25.00,58.00,0.00,1.00,NoData,NoData,57.00,NoData,NoData,
0.90,0.45,1.00,1.00,6.20,NoData,1.00,0.00,35.80,NoData,NoData,1.00,54.80,
1.00,0.50,0.50,1.00,6.20,NoData,0.80,0.00,35.60,NoData,NoData,0.00,52.25,
0.60,0.25,0.60,1.00,9.60,NoData,0.60,0.00,25.40,NoData,NoData,1.00,66.33,
0.80,0.50,1.00,1.00,9.00,NoData,0.80,0.20,28.25,NoData,62.00,1.00,63.00,
0.70,0.25,0.90,1.00,7.20,NoData,0.50,0.17,30.20,14.00,53.00,1.00,57.67,
0.50,0.50,0.80,0.40,10.00,34.33,1.00,0.00,25.00,NoData,NoData,1.00,65.50,
0.50,0.35,1.00,0.00,NoData,37.40,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.50,0.35,0.80,0.60,12.00,45.00,0.33,0.00,26.33,NoData,NoData,1.00,84.00,
0.70,0.25,0.70,1.00,8.20,NoData,0.80,0.00,30.40,NoData,NoData,1.00,59.75,
0.50,0.25,0.80,0.20,12.00,36.00,0.00,0.00,18.00,NoData,NoData,NoData,NoData,
0.50,0.30,0.70,0.20,8.00,40.50,1.00,0.00,31.00,NoData,NoData,1.00,54.00,
1.00,0.45,0.80,1.00,5.80,NoData,1.00,0.00,40.80,NoData,NoData,1.00,55.80,
