"Time","Light","Floor.friction","Object.friction","","","","","",""
3600,0.960318287,0.471487539,0.981716215,same trend,5999940,none,none,gripper , 
5400,0.914492203,0.44678135,0.941852378,new trend,3495,lighting ,none,none,e
5460,0.910624997,0.438536778,0.942701614,same trend,3435,lighting ,none,none, 
5520,0.90551732,0.438004975,0.953434183,same trend,3375,lighting ,none,none, 
5580,0.899221028,0.443000346,0.955950399,same trend,3315,lighting ,none,none, 
5640,0.896398573,0.450270132,0.954133912,new trend,3513,lighting ,none,none,b
5700,0.892827416,0.456332873,0.958486286,same trend,3453,lighting ,none,none, 
5760,0.88798303,0.459311446,0.963855434,same trend,3393,lighting ,none,none, 
5820,0.883379865,0.447776694,0.942988929,new trend,2346,lighting ,none,none,e
5880,0.883330586,0.448429525,0.930828671,same trend,2286,lighting ,none,none, 
5940,0.884381561,0.446110762,0.954780803,same trend,2226,lighting ,none,none, 
6000,0.885191947,0.44222931,0.946672245,same trend,2166,lighting ,none,none, 
6060,0.883301818,0.436810365,0.952156276,same trend,2106,lighting ,none,none, 
6120,0.875381873,0.456677309,0.957061739,new trend,4090,lighting ,none,none,b
6180,0.874480703,0.442416901,0.915141225,same trend,4030,lighting ,none,gripper , 
6240,0.868628621,0.454648264,0.938147862,same trend,3970,lighting ,none,none, 
6300,0.869301707,0.466208704,0.948326768,same trend,3910,lighting ,none,none, 
6360,0.864592483,0.453969145,0.950026174,same trend,3850,lighting ,none,none, 
6420,0.86115413,0.437416049,0.943825086,same trend,3790,lighting ,none,none, 
6480,0.857825232,0.446510503,0.949441986,same trend,3730,lighting ,none,none, 
6540,0.85583777,0.447852658,0.942585967,same trend,3670,lighting ,none,none, 
6600,0.855066885,0.444050479,0.965075153,same trend,3610,lighting ,none,none, 
6660,0.851083876,0.458789322,0.948118158,new trend,2490,lighting ,none,none,e
6720,0.85006639,0.442462858,0.949258062,same trend,2430,lighting ,none,none, 
6780,0.84802591,0.452745617,0.941989026,same trend,2370,lighting ,none,none, 
6840,0.84800359,0.454230959,0.951571086,same trend,2310,lighting ,none,none, 
6900,0.844811189,0.451065787,0.939122786,same trend,2250,lighting ,none,none, 
6960,0.841626485,0.445536097,0.939795409,same trend,2190,lighting ,none,none, 
7020,0.83894813,0.436140918,0.948257785,same trend,2130,lighting ,none,none, 
7080,0.835695871,0.466043808,0.933581227,same trend,2070,lighting ,none,none, 
7140,0.834915498,0.467159498,0.970523227,new trend,3300,lighting ,none,none,b
7200,0.834195905,0.447297181,0.948635967,same trend,3240,lighting ,none,none, 
7260,0.831556181,0.455183967,0.952201084,same trend,3180,lighting ,none,none, 
7320,0.828966238,0.456568218,0.935702083,new trend,2497,lighting ,none,none,e
7380,0.822456523,0.448415571,0.952541343,same trend,2437,lighting ,none,none, 
7440,0.819101856,0.453624111,0.952360989,same trend,2377,lighting ,none,none, 
7500,0.814885196,0.459426197,0.952549344,same trend,2317,lighting ,none,none, 
7560,0.810492642,0.469547695,0.95044114,same trend,2257,lighting ,none,none, 
7620,0.806366457,0.460405289,0.930731711,same trend,2197,lighting ,none,none, 
7680,0.802401601,0.433410527,0.951258661,same trend,2137,lighting ,none,none, 
7740,0.801049446,0.452215235,0.954543884,new trend,1577,lighting ,none,none,b
7800,0.797510821,0.444671971,0.947485821,same trend,1517,lighting ,none,none, 
7860,0.795686093,0.450292277,0.957894046,same trend,1457,lighting ,none,none, 
7920,0.79068212,0.459156362,0.957523579,new trend,2526,lighting ,none,none,b
7980,0.784792592,0.447576328,0.951125068,same trend,2466,lighting ,none,none, 
8040,0.783653999,0.452556176,0.958871362,same trend,2406,lighting ,none,none, 
8100,0.781375939,0.458037211,0.964236522,same trend,2346,lighting ,none,none, 
8160,0.779160222,0.447441403,0.953298892,same trend,2286,lighting ,none,none, 
8220,0.773551381,0.453551774,0.943973437,same trend,2226,lighting ,none,none, 
8280,0.770110476,0.440517276,0.947129579,same trend,2166,lighting ,none,none, 
8340,0.767920939,0.458398056,0.956089138,same trend,2106,lighting ,none,none, 
8400,0.766883127,0.444154982,0.941772693,same trend,2046,lighting ,none,none, 
8460,0.765297344,0.456756165,0.960118741,new trend,1468,lighting ,none,none,b
8520,0.763354089,0.442354631,0.958383307,same trend,1408,lighting ,none,none, 
8580,0.755460158,0.433331544,0.954769045,same trend,1348,lighting ,none,none, 
8640,0.755834571,0.446366681,0.944148752,same trend,1288,lighting ,none,none, 
8700,0.750807053,0.459747369,0.938205347,same trend,1228,lighting ,none,none, 
8760,0.749460785,0.458208864,0.937315432,same trend,1168,lighting ,none,none, 
8820,0.748091833,0.448347853,0.948757397,same trend,1108,lighting ,none,none, 
8880,0.742877846,0.462116352,0.936743671,same trend,1048,lighting ,none,none, 
8940,0.740485852,0.434513697,0.955487141,same trend,988,lighting ,none,none, 
9000,0.737876374,0.439313863,0.96076473,same trend,928,lighting ,none,none, 
9060,0.734532,0.440735205,0.962959199,same trend,868,lighting ,none,none, 
9120,0.734062384,0.458786422,0.96961395,same trend,808,lighting ,none,none, 
9180,0.72894774,0.46142907,0.951824538,new trend,1177,lighting ,none,none,e
9240,0.729439624,0.457668886,0.959199392,same trend,1117,lighting ,none,none, 
9300,0.727457003,0.433859843,0.939168714,same trend,1057,lighting ,none,none, 
9360,0.725867495,0.455802491,0.941636922,same trend,997,lighting ,none,none, 
9420,0.721105263,0.444271617,0.955108047,new trend,1158,lighting ,none,none,b
9480,0.715800827,0.441180121,0.940011178,same trend,1098,lighting ,none,none, 
9540,0.71241987,0.439488696,0.95637821,same trend,1038,lighting ,none,none, 
9600,0.708326719,0.443416954,0.935766674,same trend,978,lighting ,none,none, 
9660,0.708708513,0.446030759,0.949425066,same trend,918,lighting ,none,none, 
9720,0.706682531,0.44120931,0.938305602,same trend,858,lighting ,none,none, 
9780,0.704054186,0.449083947,0.948240807,same trend,798,lighting ,none,none, 
9840,0.701989032,0.445229471,0.9510937,same trend,738,lighting ,none,none, 
9900,0.701138549,0.455004633,0.946826942,same trend,678,lighting ,none,none, 
9960,0.693257712,0.44290025,0.941714329,same trend,618,lighting ,none,none, 
10020,0.692845978,0.442487791,0.944174321,same trend,558,lighting ,none,none, 
10080,0.688120015,0.438976718,0.942400237,same trend,498,lighting ,none,none, 
10140,0.684388655,0.461079377,0.945716473,same trend,438,lighting ,none,none, 
10200,0.67819648,0.450613992,0.948016005,same trend,378,lighting ,none,none, 
10260,0.676198981,0.453729677,0.949672676,same trend,318,lighting ,none,none, 
10320,0.673967021,0.437489572,0.955566392,same trend,258,lighting ,none,none, 
10380,0.67155346,0.438216479,0.935278674,same trend,198,lighting ,none,none, 
10440,0.668803846,0.454689371,0.94243266,same trend,138,lighting ,none,none, 
10500,0.666661312,0.445510651,0.966032943,same trend,78,lighting ,none,none, 
10560,0.661117606,0.449275113,0.938238669,same trend,18,lighting ,none,none, 
10620,0.657590495,0.435379569,0.938245981,same trend,-42,lighting ,none,none, 
10680,0.657254942,0.432582232,0.957362319,same trend,-102,lighting ,none,none, 
10740,0.652792158,0.45077905,0.9474806,same trend,-162,lighting ,none,none, 
10800,0.649567734,0.440070033,0.955305014,same trend,-222,lighting ,none,none, 
10860,0.647064867,0.453680825,0.957201426,same trend,-282,lighting ,none,none, 
10920,0.644343358,0.46648732,0.953347964,same trend,-342,lighting ,none,none, 
10980,0.640482901,0.435613171,0.943983465,same trend,-402,lighting ,none,none, 
11040,0.638734793,0.442356009,0.969436412,same trend,-462,lighting ,none,none, 
11100,0.635769967,0.456412115,0.954144399,same trend,-522,lighting ,none,none, 
11160,0.632109344,0.452448571,0.960510347,same trend,-582,lighting ,none,none, 
11220,0.629293389,0.451848568,0.946685184,same trend,-642,lighting ,none,none, 
11280,0.628517363,0.459676778,0.951764582,same trend,-702,lighting ,none,none, 
11340,0.6237015,0.450895804,0.952099631,same trend,-762,lighting ,none,none, 
11400,0.621572595,0.446075572,0.95127093,same trend,-822,lighting ,none,none, 
11460,0.618580789,0.453016471,0.968480476,same trend,-882,lighting ,none,none, 
11520,0.615903029,0.437093477,0.956876928,same trend,-942,lighting ,none,none, 
11580,0.611105793,0.467794132,0.954815605,same trend,-1002,lighting ,none,none, 
11640,0.606738919,0.462915553,0.957093071,same trend,-1062,lighting ,none,none, 
11700,0.603754435,0.459898133,0.962833,same trend,-1122,lighting ,none,none, 
11760,0.60465082,0.44114644,0.954728938,same trend,-1182,lighting ,none,none, 
11820,0.600851384,0.453018478,0.938449498,same trend,-1242,lighting ,none,none, 
11880,0.599301082,0.451000833,0.951554355,same trend,-1302,lighting ,none,none, 
11940,0.593121279,0.44149252,0.945487927,same trend,-1362,lighting ,none,none, 
12000,0.588343996,0.442354468,0.941501225,same trend,-1422,lighting ,none,none, 
12060,0.587703498,0.455462913,0.94940724,same trend,-1482,lighting ,none,none, 
12120,0.582131708,0.434934833,0.937395754,same trend,-1542,lighting ,none,none, 
12180,0.579235551,0.443027029,0.977880735,new trend,0,lighting ,none,none,v
12240,0.575522753,0.4610642,0.94651085,same trend,-60,lighting ,none,none, 
12300,0.570877992,0.454890886,0.967909416,same trend,-120,lighting ,none,none, 
12360,0.56978945,0.445661093,0.96691856,new trend,0,lighting ,none,none,v
12420,0.565728538,0.438026381,0.943131218,same trend,-60,lighting ,none,none, 
12480,0.562458202,0.45010355,0.952186233,same trend,-120,lighting ,none,none, 
12540,0.560796366,0.464360312,0.954524244,same trend,-180,lighting ,none,none, 
12600,0.557045011,0.445204757,0.948260768,same trend,-240,lighting ,none,none, 
12660,0.553670804,0.444121052,0.938157917,same trend,-300,lighting ,none,none, 
12720,0.548372882,0.46019108,0.967629603,new trend,0,lighting ,none,none,v
12780,0.544673992,0.447799629,0.948433379,same trend,-60,lighting ,none,none, 
12840,0.541669706,0.466717063,0.958545054,same trend,-120,lighting ,none,none, 
12900,0.54145456,0.461441929,0.952235492,same trend,-180,lighting ,none,none, 
12960,0.540981137,0.444885455,0.951070408,same trend,-240,lighting ,none,none, 
13020,0.541776963,0.440090855,0.937975494,same trend,-300,lighting ,none,none, 
13080,0.539130399,0.456275816,0.963841052,same trend,-360,lighting ,none,none, 
13140,0.532922919,0.4503845,0.953969376,same trend,-420,lighting ,none,none, 
13200,0.526759918,0.462702308,0.963424547,same trend,-480,lighting ,none,none, 
13260,0.52178927,0.461920095,0.955400065,same trend,-540,lighting ,none,none, 
13320,0.519355879,0.425387141,0.969594064,same trend,-600,lighting ,none,none, 
13380,0.516511277,0.45460302,0.948851268,new trend,0,lighting ,none,none,v
13440,0.51767138,0.451343486,0.963098775,same trend,-60,lighting ,none,none, 
13500,0.511050385,0.455184181,0.945968978,same trend,-120,lighting ,none,none, 
13560,0.506219159,0.452630302,0.963325654,same trend,-180,lighting ,none,none, 
13620,0.504781234,0.458734133,0.948236264,same trend,-240,lighting ,none,none, 
13680,0.503697045,0.451350989,0.944628914,new trend,0,lighting ,none,none,v
13740,0.50227234,0.450136257,0.937408917,same trend,-60,lighting ,none,none, 
13800,0.497340016,0.471917259,0.934561323,same trend,-120,lighting ,none,none, 
13860,0.496914434,0.442965311,0.948699067,same trend,-180,lighting ,none,none, 
13920,0.493765006,0.470033329,0.966039079,same trend,-240,lighting ,none,none, 
13980,0.492265211,0.447125417,0.956805789,same trend,-300,lighting ,none,none, 
14040,0.488602684,0.459341215,0.947420829,same trend,-360,lighting ,none,none, 
14100,0.485652855,0.427329655,0.937900716,same trend,-420,lighting ,none,none, 
14160,0.484718882,0.434197399,0.930041438,same trend,-480,lighting ,none,none, 
14220,0.480158529,0.445750219,0.942356422,same trend,-540,lighting ,none,none, 
14280,0.476522129,0.459470587,0.955062719,same trend,-600,lighting ,none,none, 
14340,0.48742741,0.461577452,0.95905927,same trend,-660,lighting ,none,none, 
14400,0.490386796,0.468245786,0.956451481,same trend,-720,lighting ,none,none, 
14460,0.489470874,0.439650273,0.936118236,same trend,-780,lighting ,none,none, 
14520,0.482352692,0.446647929,0.958137757,new trend,0,lighting ,none,none,v
14580,0.48702078,0.461288264,0.942107278,same trend,-60,lighting ,none,none, 
14640,0.480354584,0.441001216,0.95522184,same trend,-120,lighting ,none,none, 
14700,0.48260741,0.472863116,0.937646122,new trend,4511,lighting ,none,none,b
14760,0.47306502,0.432421168,0.941931697,same trend,4451,lighting ,none,none, 
14820,0.499711799,0.444596275,0.942438257,new trend,0,lighting ,none,none,v
14880,0.492695113,0.43907953,0.953279722,same trend,-60,lighting ,none,none, 
14940,0.466097789,0.461045032,0.959155199,same trend,-120,lighting ,none,none, 
